sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,03/11/2020,-20,-5,-8,-33,-18,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,03/11/2020,-21,-8,13,-23,-25,11
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,03/11/2020,-23,2,-4,-23,-22,10
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,03/11/2020,-16,-1,0,-39,-24,11
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,03/11/2020,-18,-11,42,-25,-25,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,03/11/2020,-27,10,41,-37,-18,10
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,04/11/2020,-19,4,-15,-39,-31,12
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,04/11/2020,-17,9,-7,-29,-22,10
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,04/11/2020,-10,10,-26,-32,-18,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,04/11/2020,-11,7,9,-25,-25,10
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,04/11/2020,-14,16,-7,-20,-21,9
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,04/11/2020,-11,15,-6,-38,-22,10
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,04/11/2020,-12,1,7,-25,-26,9
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,04/11/2020,-21,18,20,-37,-17,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,05/11/2020,-19,8,-2,-37,-32,12
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,05/11/2020,-18,10,8,-28,-23,9
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,05/11/2020,-14,12,-8,-32,-20,10
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,05/11/2020,-15,19,23,-20,-27,10
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,05/11/2020,-15,20,15,-24,-21,9
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,05/11/2020,-12,18,13,-42,-23,10
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,05/11/2020,-11,7,34,-19,-27,8
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,05/11/2020,-23,20,40,-37,-21,9
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,06/11/2020,-62,-22,-43,-58,-40,23
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,06/11/2020,-59,-23,-44,-53,-29,19
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,06/11/2020,-53,-16,-31,-48,-26,19
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,06/11/2020,-64,-28,-30,-41,-35,22
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,06/11/2020,-60,-18,-44,-44,-28,20
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,06/11/2020,-63,-23,-46,-60,-32,20
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,06/11/2020,-64,-35,-31,-54,-37,21
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,06/11/2020,-63,-19,-37,-54,-28,19
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,07/11/2020,-67,-27,-50,-63,-36,21
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,07/11/2020,-69,-33,-38,-65,-32,20
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,07/11/2020,-61,-28,-53,-58,-24,20
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,07/11/2020,-71,-41,-33,-51,-32,21
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,07/11/2020,-69,-28,-57,-53,-32,22
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,07/11/2020,-72,-29,-60,-75,-31,20
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,07/11/2020,-72,-41,-47,-68,-38,20
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,07/11/2020,-69,-22,-47,-62,-29,19
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,08/11/2020,-79,-53,-49,-67,-40,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,08/11/2020,-78,-55,-37,-69,-36,18
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,08/11/2020,-74,-48,-30,-68,-30,19
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,08/11/2020,-82,-61,-47,-49,-38,19
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,08/11/2020,-79,-55,-62,-60,-34,21
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,08/11/2020,-82,-50,-68,-84,-40,18
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,08/11/2020,-81,-57,-57,-74,-42,19
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,08/11/2020,-81,-47,-53,-71,-38,19
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,09/11/2020,-54,-19,-28,-55,-39,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,09/11/2020,-52,-20,-22,-51,-30,16
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,09/11/2020,-46,-16,-10,-45,-27,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,09/11/2020,-53,-21,-11,-36,-34,18
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,09/11/2020,-52,-16,-18,-40,-27,16
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,09/11/2020,-54,-16,-29,-57,-33,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,09/11/2020,-55,-26,-4,-47,-35,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,09/11/2020,-54,-13,-8,-54,-27,15
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,10/11/2020,-53,-16,-24,-55,-40,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,10/11/2020,-50,-17,-30,-50,-34,17
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,10/11/2020,-44,-15,-14,-45,-27,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,10/11/2020,-52,-23,-4,-35,-33,17
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,10/11/2020,-51,-12,-37,-40,-29,16
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,10/11/2020,-50,-12,-28,-58,-33,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,10/11/2020,-53,-25,14,-44,-36,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,10/11/2020,-54,-4,-3,-51,-29,16
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,11/11/2020,-53,-17,-27,-56,-39,20
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,11/11/2020,-51,-15,-24,-50,-30,16
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,11/11/2020,-46,-14,-38,-48,-27,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,11/11/2020,-53,-25,-13,-38,-33,18
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,11/11/2020,-51,-13,-33,-39,-28,17
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,11/11/2020,-52,-11,-37,-56,-31,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,11/11/2020,-54,-24,-5,-45,-37,17
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,11/11/2020,-53,-8,-9,-52,-27,16
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,12/11/2020,-54,-17,-41,-56,-39,20
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,12/11/2020,-50,-17,-24,-50,-32,17
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,12/11/2020,-46,-11,-30,-44,-28,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,12/11/2020,-53,-19,-21,-40,-34,19
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,12/11/2020,-51,-12,-35,-42,-28,18
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,12/11/2020,-53,-9,-40,-57,-31,18
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,12/11/2020,-53,-24,-25,-45,-37,17
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,12/11/2020,-53,-9,-24,-53,-30,17
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,13/11/2020,-54,-13,-35,-56,-39,22
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,13/11/2020,-51,-13,-37,-50,-30,18
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,13/11/2020,-47,-6,-29,-47,-27,19
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,13/11/2020,-55,-15,-20,-39,-35,21
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,13/11/2020,-53,-8,-38,-42,-29,19
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,13/11/2020,-55,-9,-41,-59,-32,20
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,13/11/2020,-57,-25,-21,-48,-38,20
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,13/11/2020,-56,-7,-31,-53,-28,19
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,14/11/2020,-60,-21,-41,-59,-33,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,14/11/2020,-64,-26,-38,-62,-31,19
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,14/11/2020,-55,-23,-47,-57,-23,18
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,14/11/2020,-64,-34,-23,-43,-31,20
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,14/11/2020,-64,-22,-50,-47,-32,20
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,14/11/2020,-67,-21,-54,-73,-29,18
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,14/11/2020,-66,-34,-40,-66,-38,19
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,14/11/2020,-65,-13,-40,-58,-28,18
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,15/11/2020,-77,-50,-58,-66,-40,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,15/11/2020,-76,-51,-40,-68,-37,18
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,15/11/2020,-72,-43,-37,-68,-32,18
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,15/11/2020,-79,-57,-54,-53,-34,19
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,15/11/2020,-78,-52,-64,-59,-34,21
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,15/11/2020,-79,-45,-69,-83,-39,18
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,15/11/2020,-79,-53,-55,-72,-46,19
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,15/11/2020,-78,-43,-49,-71,-36,18
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,16/11/2020,-50,-17,-28,-55,-39,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,16/11/2020,-49,-16,-22,-49,-29,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,16/11/2020,-41,-12,-9,-44,-27,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,16/11/2020,-47,-17,-4,-34,-34,17
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,16/11/2020,-49,-15,-17,-37,-28,15
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,16/11/2020,-49,-12,-31,-56,-33,16
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,16/11/2020,-51,-25,3,-45,-36,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,16/11/2020,-51,-10,-12,-51,-27,15
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,17/11/2020,-50,-15,-22,-53,-39,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,17/11/2020,-47,-15,-32,-49,-30,16
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,17/11/2020,-42,-14,-16,-43,-26,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,17/11/2020,-49,-22,-8,-37,-33,17
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,17/11/2020,-47,-9,-35,-38,-28,16
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,17/11/2020,-47,-12,-28,-57,-32,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,17/11/2020,-50,-24,14,-43,-37,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,17/11/2020,-52,-4,1,-51,-27,16
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,18/11/2020,-50,-16,-23,-55,-38,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,18/11/2020,-48,-15,-19,-49,-29,16
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,18/11/2020,-42,-14,-31,-45,-26,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,18/11/2020,-49,-23,-8,-36,-32,18
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,18/11/2020,-48,-12,-27,-36,-28,16
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,18/11/2020,-50,-12,-29,-56,-31,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,18/11/2020,-52,-23,5,-45,-37,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,18/11/2020,-52,-8,-7,-53,-26,16
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,19/11/2020,-50,-15,-25,-53,-38,19
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,19/11/2020,-48,-16,-20,-46,-30,16
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,19/11/2020,-44,-12,-22,-41,-27,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,19/11/2020,-49,-17,1,-35,-33,17
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,19/11/2020,-47,-10,-21,-39,-27,16
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,19/11/2020,-49,-10,-32,-55,-30,18
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,19/11/2020,-51,-20,-13,-44,-37,17
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,19/11/2020,-51,-8,-10,-50,-28,16
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,20/11/2020,-51,-11,-20,-54,-38,21
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,20/11/2020,-49,-13,-34,-49,-29,17
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,20/11/2020,-43,-5,-27,-44,-26,18
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,20/11/2020,-51,-15,-7,-33,-33,20
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,20/11/2020,-50,-7,-28,-38,-28,18
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,20/11/2020,-53,-8,-34,-56,-31,19
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,20/11/2020,-54,-24,-17,-49,-38,19
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,20/11/2020,-53,-5,-14,-50,-26,18
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,21/11/2020,-58,-19,-45,-58,-31,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,21/11/2020,-61,-23,-27,-61,-30,18
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,21/11/2020,-52,-19,-46,-56,-22,18
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,21/11/2020,-61,-31,-24,-46,-30,19
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,21/11/2020,-60,-17,-50,-47,-31,20
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,21/11/2020,-63,-18,-50,-71,-28,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,21/11/2020,-64,-31,-43,-64,-37,19
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,21/11/2020,-61,-9,-30,-57,-26,17
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,22/11/2020,-72,-44,-41,-62,-36,17
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,22/11/2020,-73,-46,-29,-64,-33,17
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,22/11/2020,-66,-39,-31,-63,-30,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,22/11/2020,-74,-51,-40,-42,-32,17
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,22/11/2020,-74,-46,-52,-51,-32,19
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,22/11/2020,-76,-39,-63,-81,-38,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,22/11/2020,-76,-49,-49,-69,-43,18
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,22/11/2020,-74,-33,-36,-67,-35,17
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,23/11/2020,-47,-18,-30,-53,-37,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,23/11/2020,-47,-15,-22,-48,-28,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,23/11/2020,-38,-12,-12,-40,-26,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,23/11/2020,-44,-18,-5,-31,-33,16
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,23/11/2020,-45,-13,-15,-36,-26,15
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,23/11/2020,-46,-13,-29,-53,-32,16
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,23/11/2020,-49,-24,-11,-45,-35,15
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,23/11/2020,-48,-8,-4,-50,-25,15
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,24/11/2020,-47,-15,-21,-52,-37,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,24/11/2020,-44,-15,-28,-46,-29,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,24/11/2020,-38,-13,-17,-43,-24,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,24/11/2020,-44,-21,-4,-35,-31,16
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,24/11/2020,-45,-8,-34,-37,-27,15
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,24/11/2020,-44,-11,-26,-54,-31,16
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,24/11/2020,-47,-23,12,-39,-35,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,24/11/2020,-49,-3,0,-49,-25,15
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,25/11/2020,-48,-15,-26,-54,-36,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,25/11/2020,-45,-12,-17,-48,-27,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,25/11/2020,-40,-12,-33,-44,-25,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,25/11/2020,-47,-21,-4,-32,-30,17
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,25/11/2020,-45,-9,-30,-36,-26,15
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,25/11/2020,-46,-7,-26,-54,-29,16
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,25/11/2020,-49,-22,0,-46,-35,16
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,25/11/2020,-47,-3,1,-49,-24,15
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,26/11/2020,-47,-14,-29,-52,-36,18
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,26/11/2020,-46,-13,-16,-47,-28,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,26/11/2020,-41,-11,-21,-45,-26,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,26/11/2020,-47,-15,-5,-35,-32,17
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,26/11/2020,-44,-8,-23,-38,-25,16
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,26/11/2020,-47,-8,-32,-55,-29,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,26/11/2020,-48,-17,-14,-44,-35,17
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,26/11/2020,-48,-4,-4,-50,-27,16
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,27/11/2020,-47,-10,-28,-52,-35,20
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,27/11/2020,-47,-12,-44,-50,-28,17
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,27/11/2020,-42,-6,-30,-45,-24,18
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,27/11/2020,-48,-10,-9,-31,-32,19
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,27/11/2020,-46,-3,-29,-37,-26,17
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,27/11/2020,-50,-8,-37,-56,-30,18
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,27/11/2020,-52,-23,-17,-47,-36,18
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,27/11/2020,-50,0,-23,-49,-25,17
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,28/11/2020,-56,-18,-56,-57,-28,17
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,28/11/2020,-59,-20,-42,-61,-27,18
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,28/11/2020,-49,-15,-49,-54,-20,17
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,28/11/2020,-57,-28,-25,-40,-25,18
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,28/11/2020,-59,-16,-61,-52,-29,20
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,28/11/2020,-60,-16,-55,-70,-24,17
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,28/11/2020,-60,-29,-38,-62,-35,17
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,28/11/2020,-59,-6,-29,-57,-21,17
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,29/11/2020,-60,-34,-34,-50,-28,15
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,29/11/2020,-64,-39,-20,-61,-28,15
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,29/11/2020,-58,-30,-13,-60,-21,16
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,29/11/2020,-64,-42,-40,-37,-29,16
