sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,22/02/2020,-3,-2,10,18,-10,0
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,22/02/2020,-7,0,47,6,1,-1
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,22/02/2020,3,1,32,17,2,-1
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,22/02/2020,1,2,18,9,0,0
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,23/02/2020,-13,6,6,-1,1,0
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,23/02/2020,-13,1,21,-6,-1,0
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,23/02/2020,-7,6,52,-1,1,0
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,23/02/2020,-10,-7,37,10,3,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,23/02/2020,-3,1,37,15,-1,-1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,23/02/2020,-14,14,26,-6,1,0
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,23/02/2020,6,16,60,36,7,-1
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,23/02/2020,15,20,28,16,6,-1
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,24/02/2020,-7,20,28,-22,-23,6
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,24/02/2020,-9,16,17,-19,-18,5
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,24/02/2020,-4,22,36,-16,-20,5
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,24/02/2020,-3,24,49,-11,-19,5
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,24/02/2020,-4,22,37,-11,-20,4
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,24/02/2020,-8,22,38,-30,-20,6
